Name,Topic,Voice Line
Albedo,About Xingqiu Friendship Lv. 4,"Oh, Xingqiu? I find his written works quite interesting. The Yae Publishing House in Inazuma has been asking that I cooperate with a different author for greater royalties. Hmph, do I seem the type to be swayed by a few extra Mora?"
Albedo,About Barbara Friendship Lv. 4,"Barbara? She's a very earnest Deaconess. I once had the opportunity to sketch her a simple portrait... What happened to the sketch? Ah yes... Albert offered to purchase it, but I rejected his bid and gave it to the Acting Grand Master. Social relations... really require a lot of effort."
Albedo,More About Albedo: I,"Have a question for me? Go ahead, ask. It doesn't take too long to ask a single question, does it? I'm about to begin the final stage of an experiment..."
Albedo,More About Albedo: II Friendship Lv. 3,"Oh, by the way. Did you know that without human manipulation, you would need to harness the power of a sun eight times the size of our own in order to naturally create gold?"
Albedo,More About Albedo: III Friendship Lv. 4,"The time required to sketch portraits closely correlates with one's mood. I could spend half a day sketching Huffman, while I might only need three strokes of the pencil to sketch Kaeya — one for the face, one for the eyepatch string... and one for the eyepatch."
Albedo,More About Albedo: IV Friendship Lv. 5,What do I do besides sketching and research...? I will occasionally read novels from Inazuma and Liyue. They contain many fascinating ideas which can sometimes provide me with unexpected inspirations for my own creations.
Albedo,More About Albedo: V Friendship Lv. 6,"Even now, I find the nigredo processing stage of alchemy passed down by my master to be full of mystery. What did my master want to create using this technique...? My research is far from over, I will require your help to investigate further."
Albedo,Albedo's Hobbies,"Hmm... Besides research, the activity I spend most of my time on is probably sketching. At first I saw it simply as a way to better study the structure of living things and materials so as to aid me in my experiments, but it eventually became a hobby of mine. Indeed, it is a very good way to relax."
Albedo,Albedo's Troubles,"There's just never enough time, is there? Even when I remove the most troublesome matters from my schedule, I still can't find enough time for everything."
Albedo,Favorite Food,"I really do enjoy having dessert. How can I put it...? When both physical and mental capacity are spent, high-energy materials further provide a kind of primordial, highly-effective boost."
Albedo,Least Favorite Food,"What food do I dislike? ...Large portions of meat at restaurants. I have a rather small appetite, so a meal like that only ends up in tragedy — either I overeat and the joy of the taste is lost, or I don't finish it and the food is wasted. I decided to simply not go to restaurants, although that has also meant I must spend more time preparing my own food..."
Albedo,Receiving a Gift: I,If flavors were colors... this one would be gold.
Albedo,Receiving a Gift: II,"You're willing to spend so much time on improving your cooking, and that's precisely how you're able to make it taste so good."
Albedo,Receiving a Gift: III,This is more than I can manage... maybe we could split it between us?
Albedo,Birthday,"Happy birthday. You look especially happy, would you mind if I sketched you? The capacity of our brains is limited, so we are bound to forget things. But when an image is transferred onto paper or canvas, the sketch becomes an extension of our memory. We can remember that past feeling when we later look at the sketch."
Albedo,Feelings About Ascension: Intro Ascension Phase 1,"Nigredo is the first step in alchemy, drawing from primordial forms. As beings who live in this world, we must find our own meaning."
Albedo,Feelings About Ascension: Building Up Ascension Phase 2,Albedo is the step in which change begins. Clearing away the excess so we can take on all the knowledge that is available. Would you like to investigate this world with me?
Albedo,Feelings About Ascension: Climax Ascension Phase 4,Rubedo in alchemy refers to the refining of feeling. I feel the refining of my own emotions is also thanks to you.
Albedo,Feelings About Ascension: Conclusion Ascension Phase 6,"Citrinitas is the final stage of the alchemical transmutation process. The meaning of the object being transmuted has finally been brought to light, becoming gold and revealing its true value... I too have found my own meaning."
Aloy,Hello,"Aloy here. I don't know this world, but my arrows are sharp and my bow's ready. If your party needs help, I'll do what I can."
Aloy,Chat: Moving Out,"Come on. Enough standing around, let's keep moving."
Aloy,Chat: Help,Let's get going. There are people who need our help.
Aloy,When It Rains,Rain. One way to wash off the grime.
Aloy,After the Rain,Sky's running out of rain for now. Time to dry off.
Aloy,When It Snows,The world always seems quieter when it snows.
Aloy,When It's Windy,Wind's kicking up again. Feels good to breathe it in.
Aloy,When the Wind Is Blowing,Wind is really whipping now. My face feels raw.
Aloy,Good Morning,"Morning. World's starting to stir again. Me too, I guess."
Aloy,Good Afternoon,"Day's half over, but we still have a lot to do."
Aloy,Good Evening,Sunset. We'll be under the stars soon.
Aloy,Good Night,"Night's here. Time to rest, unless we're going on by starlight."
Aloy,About Aloy,"I grew up an outcast, and it wasn't much fun. Even though I'm a stranger here, people are friendlier than the tribe that was supposed to raise me. It's... nice."
Aloy,About Us: Action,"Everything I do is in the service of life, not death. That's why I'm here with you."
Aloy,About Us: Oath Friendship Lv. 6,"An oath seems like a formality. But if you want mine, you've got it."
Aloy,About Us: Moving Forward Friendship Lv. 6,I'll do whatever it takes to finish this with you. I won't hesitate. I won't falter.
Aloy,Something to Share,"If I have to share something, it'll be my bow... in the service of people who need the help."
Aloy,Interesting Things,"This land has a past full of secrets, just like my world. I'll uncover all of it, if I have enough time."
Aloy,More About Aloy: I,I'm not much for talking about myself. The mission is what's important.
Aloy,More About Aloy: II Friendship Lv. 3,"I never had parents. But a man named Rost raised me. He was stern, but kind and generous. And he trained me well. I miss him."
Aloy,More About Aloy: III Friendship Lv. 4,"I spent my whole life looking for my mother and never found her, not really. But I found ancient messages from the woman I was... cloned from. It felt like she knew me. And how to inspire me."
Aloy,More About Aloy: IV Friendship Lv. 5,"When I grew up, I didn't have any friends. Later in my travels, I made some. But I left that world before we could grow close. That's why I'm glad to have spent time with you."
Aloy,More About Aloy: V Friendship Lv. 6,"Trust doesn't come easy for me, but I know I can trust you. You're a true friend, and I don't say that often."
Aloy,Aloy's Hobbies,"Not sure if I have a hobby, unless you count reading things from the past. So, history... I guess?"
Aloy,Aloy's Troubles,One world needed saving. Now another. There's never time to rest.
Aloy,Favorite Food,I'm not picky. Anything's better than traveling on an empty stomach.
Aloy,Least Favorite Food,Had an Oseram stew once that was so thick you could pave a road with it. Ugh.
Aloy,Birthday,"Never put much stock in birthdays. Where I come from, it's a time to celebrate your mother, not yourself. Even so, I wish you a, uh... happy day."
Aloy,Feelings About Ascension: Intro Ascension Phase 1,"All right. Feels like we're making progress, but we can't stop now."
Aloy,Feelings About Ascension: Building Up Ascension Phase 2,Getting better. Getting stronger. Always a good thing.
Aloy,Feelings About Ascension: Climax Ascension Phase 4,"No matter how good a hunter you are, you can always get better. Never rest. Never stop learning."
Aloy,Feelings about Ascension: Conclusion Ascension Phase 6,"When we started out, you were just another stranger in a world I didn't understand. But after everything we've been through, I can say this for certain: My bow is yours, now and always."
Amber,Hello,Outrider Amber reporting for duty! Just say the word if you ever need my help!
Amber,Chat: Hobbies,I feel like running.
Amber,Chat: Longings,Jean will be upset if she catches us lazing around like this.
Amber,Chat: New Discoveries,"Hey, there's something strange over there... C'mon, let's take a look!"
Amber,When It Rains: Worries,"Oh no, it's raining... now my uniform will get all wet..."
Amber,When It Rains: Reminder,"It's raining again... This will hinder our vision, we must remain vigilant!"
Amber,After the Rain,Wow~ This weather is awesome!
Amber,When the Sun Is Out,If only the wind was a little stronger...
Amber,When It's Windy: Pleasant,This breeze... so refreshing!
Amber,When It's Windy: Relax,"I love this kind of weather, ahh... so relaxing~"
Amber,Good Morning,Morning! Want to go on a jog?
Amber,Good Afternoon,Can I get lunch with you?
Amber,Good Evening,"It's getting late, should I light a torch?"
Amber,Good Night,"Agreed, getting rest is essential! Let's meet here tomorrow then. See ya!"
Amber,About Amber,"Mondstadt Gliding Champion, yep, that's me! Gliding Champion!"
Amber,About Us: Contests,"Remember that I don't go easy on anyone, even you!"
Amber,About Us: Gliding Friendship Lv. 6,"When I'm teaching you to glide, I feel like I can go even faster than usual... Huh? What are you laughing at? I'll prove it! We can race — right now!"
Amber,About the Vision Friendship Lv. 4,"My Vision... Is a sign that the Archons believe in me. Yes, I must become the best Outrider I can possibly be!"
Amber,Something to Share,The view from the Cathedral's clock tower is amazing! You should check it out.
Amber,Interesting Things,"Look, there's a pigeon over there! *giggle* I wish I could fly alongside them."
Amber,About Jean: Help Friendship Lv. 4,"After the Grand Master left on his expedition, all the affairs of the Knights of Favonius, both big and small, have been left up to Jean. If only there was more I could do to help her..."
Amber,About Jean: Care Friendship Lv. 4,Jean might still be working? We should invite her for coffee... Let's go.
Amber,About Lisa: Listening to Stories Friendship Lv. 4,"When you have time, we should go see Lisa! Last time I saw her, she was telling me about a story involving a treasure in the Dragonspine area. But, we got cut off before she could finish. I can't wait to hear the rest of her story!"
Amber,About Lisa: Admiration Friendship Lv. 4,"If Lisa's not sleeping, she'll be reading! I don't know how she does it, I wouldn't be able to sit still for that long."
Amber,About Kaeya: Concerns Friendship Lv. 4,...I'm feeling uneasy all of a sudden! Was that Kaeya with you earlier? Did he give you any trouble?
Amber,About Kaeya: Culprit Friendship Lv. 4,"There's something weird-looking about the dandelions in the garden... Hmm, I bet Kaeya had something to do with this!"
Amber,About Bennett Friendship Lv. 4,"Hmm? Bennett... I feel like I've heard that name before... Oh! Yes, he's that hot-blooded guy from the Adventurers' Guild, right! I tend to come across him way out in the wild from time to time, he seems to really love treasure hunting."
Amber,About Klee Friendship Lv. 4,"Klee? She can be a bit cheeky sometimes, but everyone in the Knights of Favonius likes her. Although... I really ought to keep a closer eye on her if I wanna keep her from getting put in confinement by Jean again."
Amber,About Albedo Friendship Lv. 4,"Albedo spends most of his time in his workshop, tinkering away with all of his awesome stuff. But, when you see him in person, you never can quite tell what he's thinking... Who knows what goes on in that mind of his...(Actual Voice-Over: Albedo spends most of his time in his workshop, tinkering away with all of his awesome stuff. But, when you see him in person, you can never quite tell what he's thinking... Not a clue at all...)"
Amber,About Noelle Friendship Lv. 4,"You wanna know about Noelle? She's super resilient. Still, since she's younger than us we should still look out for her.(Actual Voice-Over: You wanna know about Noelle? She's incredibly resilient. Still, as our predecessor, we should do what we can to help her out.)"
Amber,About Eula Friendship Lv. 4,Eula is a great friend of mine! You just need to get used to her sense of humor and you'll get along fine! The only reason she's misunderstood by so many people is her family name. How can I get them to see her for who she really is?
Amber,"About Collei Friendship Lv. 4 Akasha Pulses, the Kalpa Flame Rises","Collei wrote to me saying that her Eleazar has been completely cured... I'm so happy for her! I wish I could fly to her side right now and give her the biggest hug! She also said she misses everyone in Mondstadt, and that once she's ready, she'll come visit us in person and tell us all about her progress... Oh, it would be great if she could make it in time for the next Ludi Harpastum. Aaah I can't wait to see her again!"
Amber,About Mika Friendship Lv. 4,"Oh! Mika's a veteran of Eula's team. When he first arrived, it was always ""Yes, Commander!"" every time he spoke to me — I guess it must have been because he saw how close I was with Eula. But then, even after I told him I was actually an Outrider, he still called me ""Ma'am""... It was so embarrassing. We have completely different responsibilities, after all. I definitely could never match his expertise in cartography."
Amber,More About Amber: I,"I'm a pro at hunting, you know! How about I show you some of my skills? Or even better... how about a little competition?"
Amber,More About Amber: II Friendship Lv. 3,"I'll share my ultimate Gliding Champion secret with you! The most important thing to remember, is to have courage!"
Amber,More About Amber: III Friendship Lv. 4,I'm really not that good with riddles. I always try to avoid the riddles stand during Ludi Harpastum... What about you?
Amber,More About Amber: IV Friendship Lv. 5,"I joined the Knights because of my grandpa, I stayed because of Jean. ...And now, you're the one that showed me the world beyond Mondstadt. I couldn't be happier."
Amber,More About Amber: V Friendship Lv. 6,"I would like to explore the other worlds beyond. I wanna see how deep the rabbit hole goes! You'll keep me company right, right?"
Amber,Amber's Hobbies,"Baron Bunny, today is another squeaky clean day!"
Amber,Amber's Troubles,Oh... Do you have any idea how to make a decent Moon Pie?
Amber,Favorite Food,Jean makes the most amazing cup of coffee! You'll have to try it sometime.
Amber,Least Favorite Food,"I can handle anything and everything! As long as it isn't cold Wolfhook juice... Ugh, yuck..."
Amber,Receiving a Gift: I,"Wow! This is delicious, you're an amazing cook!"
Amber,Receiving a Gift: II,I wish I was as good at cooking as you...
Amber,Receiving a Gift: III,"Uh, I'm just not used to this taste, sorry! Nothing to do with you of course!"
Amber,Birthday,"Hey, Happy Birthday! Here, I have a gift for you: an exclusive, custom-made version of Baron Bunny that I sewed for you myself... Don't worry, ""custom-made"" means that it won't explode!"
Amber,Feelings About Ascension: Intro Ascension Phase 1,Yeah! As fast as riding the wind!
Amber,Feelings About Ascension: Building Up Ascension Phase 2,"At this speed, no one can keep up with me!"
Amber,Feelings About Ascension: Climax Ascension Phase 4,The skies over Mondstadt seem to have gotten smaller... or is it that my sight reaches further than ever before?
Amber,Feelings About Ascension: Conclusion Ascension Phase 6,"It seems that now... I've improved so much compared to when we first met! Hehe, thank you so much! Let me treat you to a Sticky Honey Roast! Let's go, let's go!"
Arataki Itto,Hello,"I'm the head honcho of the Arataki Gang, and everyone knows my name...s. Names, I have many.Arataki ""The One and Oni"" IttoArataki ""The Oni Sumo King"" IttoArataki ""The Pride of Oni"" IttoArataki ""Beetle Gladiator"" IttoArataki ""The Ultimate TCG Champion"" IttoArataki ""He Might Lose but He'll Never Admit Defeatto""...Anyway, these are some of the ones I usually go by, so go ahead, take your pick. I'll respond to whichever one you choose, I promise. Hehe, you're welcome."
Arataki Itto,Chat: Itto's Here,"Arataki ""Numero Uno"" Itto, here in the flesh! Hahaha... *cough*"
Arataki Itto,Chat: Snacks,"Best flavor in the world? The sweet, sweet taste of victory. And that's why I've never spent a single Mora on any of my snacks — I've won 'em all fair and square... That's right."
Arataki Itto,Chat: Beetle Fighting,"Don't underestimate the beetle — they can be some of the toughest little guys around! Yes you can, yes you can— Wanna know what's on this beetle's diet? Sweat and tears, that's what! That's how it gets stronger... I think we can all learn somethin' from that!"
Arataki Itto,When It Rains,"Pff, real men don't carry umbrellas... Oh boy, wow, it's really starting to pick up. Uh quick, c'mon, get yours out! C'mon, quick, quick, quick!"
Arataki Itto,When Thunder Strikes,"Hey! Raiden Shogun, is that you? Well guess what — you're not the boss of me. Uh-huh, that's right, you heard me! Go ahead, strike me down!"
Arataki Itto,When It Snows,"Alright, it's time for a snowball fight! You're never gonna win, though, I... Ha, ah... Ah-choo!!! Whew."
Arataki Itto,When the Sun Is Out,"The sky is clear and the sun is shining... Time to get the Onikabuto out for some training! C'mon little guy, let's go!"
Arataki Itto,When the Wind Is Blowing,Bottom line: Never let the wind get to you. Especially when you've got a killer hairstyle like mine. Oh yeah!
Arataki Itto,Good Morning,"Morning, sunshine! Hey, uh... So listen, I'm fresh out of Mora... again. But hey, who needs some lousy job when we can just go find somewhere fun to hang out! Haha, whaddya say?"
Arataki Itto,Good Afternoon,"Now that we've had some grub, why don't we go find somewhere to kick it for a while? Hanamizaka? Nah, boring. Tenryou Commission... No, no, no... Ah, forget it, let's go hang around Ritou!"
Arataki Itto,Good Evening,"Shh! You hear that? *gasp* Oh no... it's a ghost, RUN!!! ... Haha, psyche! Ah, I got you good there! ... I got you, didn't I?"
Arataki Itto,Good Night...,"If you're tired, go ahead and call it a night. Hmm? Me? Oh, don't worry... I sleep with my eyes open... Haha... Literally."
Arataki Itto,About Itto: Getting a Real Job,"Oh, so they're saying I can't hold down a real job, huh? Well! Hahaha! Sorry to break it to ya, but I'm a delinquent. That means it's my job to not have a real job, and if anyone's got a problem with that... Who's got a problem with that, huh? You got a problem with that!? You got a problem with— *coughing* Sorry. Got a little worked up there. Where was I? Ah yeah, so work isn't really my thing, but don't worry — I don't rob or steal or anything like that. When I'm really runnin' low on funds, I just take the odd job here and there to make ends meet. You know, like transporting stuff, delivering documents, helping businesses attract customers... Just enough to keep the wolf from the door. Hehe!"
Arataki Itto,About Itto: Oni Friendship Lv. 4,"The oni have been through a lot to get to where we are today, and look at us now — living peacefully alongside the humans. Unfortunately, there's still plenty of people out there who've got a bone to pick with us. Hmm? Change? Oh yeah, things are gonna change, alright! You can count on that! But I'll tell you what, it won't involve any sucking up to the humans on my part, nuh-uh! I'm gonna let my actions do the talkin'. They'll come to respect me eventually."
Arataki Itto,About Us: Cooperation,"Hey, so I always see you running around everywhere doing this and that for other people, but you're not in it for the Mora, are you? No, you're just straight-up lookin' out for your fellow man. I know a true homie when I see one, and no one appreciates a homies' homie more than yours truly. Put it here, partner! You and I are gonna make a great team, I just know it!"
Arataki Itto,About Us: Response Friendship Lv. 6,"You know what, I gotta admit — I respect you, always have. I could really see you as a member of the gang, you know — I mean, you really have what it takes... Whaddya say? I've even come up with a catchy title to tag on after your name, get this: ""The Traveler, 'Second to One'""! Get it? 'Cause y'know, I'm numero uno, you're my number two, and together we're the most powerful duo in the whole friggin' world, baby! Hahaha! Ah... But, uh, all jokes aside, I know you're on some important journey or whatever. So, go ahead! Get out there and do whatcha wanna do! Just remember, the Arataki Gang will always answer your call."
Arataki Itto,About the Vision Friendship Lv. 4,"Ugh, don't even ask. Just the thought of it makes my blood boil! First, the Shogun's Army goes out and steals everyone's precious Visions — which, already a heinous crime, right? But then... then they go and stick them all over that statue with absolutely no sense of organization whatsoever. I mean, think about it... the more powerful the Vision, the higher up on the statue it should go, that would make sense, right? But nooo, some class-A jerk in the Tenryou Commission thought it'd be funny to put my Vision right at the very bottom! Ugh... Come on!"
Arataki Itto,Something to Share: Hina,"If you ever have something on your mind, you can always try writing in to ""That's Life"" magazine's advice column. Ms. Hina always manages to come up with an encouraging and heartwarming response for all her readers. Just look at me — I used to be a lost soul, but not anymore, and it's all thanks to her. Oh, that reminds me, I managed to sign up for one of her upcoming meet-and-greets! I've been counting down the days — wish it would go faster..."
Arataki Itto,Something to Share: Horns,"Question for ya! Do my horns look boring once you get used to them? 'Cause, uh, I was thinking of switching up the style, going for a total overhaul, you know? I'm thinking paint them in rainbow stripes and then strap a few Fireflies on for good measure! Eh, eh? I bet that would turn some heads on the streets... like ""Dude, you're rockin' those sweet rainbow horns, man!"" ...Ah, man, this is totally genius! I'm gonna round up the gang and get them working on it ASAP."
Arataki Itto,Interesting Things,"Wanna know the real secret to catching Onikabuto? It's all in the eyeballs. You gotta keep those bad boys squeaky clean at all times, make sure your eyesight's as sharp as a hawk. Trust me, when you're in the middle of a thunderstorm, and the rain's coming down, and the wind's blowing in your face, you gotta watch out, because Lavender Melons and Onikabuto? Well, they can really start to look the same... believe me, I know."
Arataki Itto,About Thoma Friendship Lv. 4,"Some of the boys have been telling me that he was the star of the show at the Vision Hunt Ceremony. I'm like — are you kidding me??? How come he gets his own special ceremony!? Was the hundredth Vision supposed to be, like, stronger than the other ninety-nine, or something? Pff, nah, it can't have been that, 'cause, uh, hello! They would've chosen me if that's what they were going for."
Arataki Itto,About Kamisato Ayato Friendship Lv. 4,"Haha, I only wish I could have met Ayato sooner. He really taught me something. ""You can kindle the warrior spirit even in the weakest of bugs""... Yep, I really took that one to heart. If it weren't for those words of wisdom, I'm pretty sure I would have given up beetle fighting after losing for the 780th time... Yeah, I guess sometimes it takes a warrior to understand a warrior. When we're playing trading card games or battling beetles, we're always totally on the same wavelength."
Arataki Itto,About Yoimiya Friendship Lv. 4,"Hmph, she's always showing off her fancy fireworks and toys to the kids. Well, I'm sick of it! Nobody steals my thunder! I'm the one that's supposed to be adored by the kids! Me! That goes for you too, you're siding with me on this, okay... Huh? Whaddya mean, you're not a kid? Eh, details. If you're shorter than me, you're a kid as far as I'm concerned."
Arataki Itto,About Kaedehara Kazuha Friendship Lv. 4 Omnipresence Over Mortals,"Word on the street is that he blocked the Musou no Hitotachi after you escaped from Tenshukaku. Seriously? 'Cause I mean, that is awesome! Who knows how he pulled it off. Hey, now that I think about it, he's from a fallen clan, and I'm from a fallen clan... That kinda makes us equals, haha! Yeah, so next time someone attacks you, it's my turn to block the blade!"
Arataki Itto,About the Raiden Shogun Friendship Lv. 4 Omnipresence Over Mortals,"During the Vision Hunt Decree, the Shogun had to send her top tengu in person to get my Vision off me. Heh, means she must have found me to be quite the pain in the neck. But, y'know, she's abolished the Vision Hunt Decree now, so no hard feelings, I guess. As long as she's learned her lesson, of course. 'Cause if she pulls something like that again, this old pain in the neck will be back with a vengeance."
Arataki Itto,About the Lady with Fox Ears Friendship Lv. 4,"I crushed that Kitsune Ramen eating contest we had. Even all that Fried Tofu couldn't stand in my way — she didn't come close to beating me! ... I was, uh, bedridden for more than a month after that, but you know what? I'd rather lie in bed a winner than walk away a loser! So... Anyway, I had the last laugh, 'cause she had to foot the bill for 32 bowls of noodles! Haha!"
Arataki Itto,About Kujou Sara Friendship Lv. 4 The Immovable God and the Eternal Euthymia,"You know what, yeah, she beat me during the Vision Hunt Decree. I'm not ashamed to admit it. When you lose, you admit defeat, and when you screw up, you take it on the chin, like a man! And anyway, let's not forget which one of us won't agree to a rematch — her, the tengu warrior! It's just a sumo street fight, I mean, what's she so afraid of? If she keeps snubbing me, I'm gonna have to stop calling her Kujou Tengu and start calling her Kujou Chicken! Heh, we'll see what she thinks of that."
Arataki Itto,About Gorou Friendship Lv. 4,"Oh yeah, the doggy general in the resistance... Hey, I've gotta hand it to him, he may be on the small side, but he's got quite the fighting spirit. Also, he gives off this vibe that makes me feel all warm and fuzzy inside, almost as if he understands my innermost feelings... I mean, I've barely met the guy, so that's kinda weird."
Arataki Itto,About Kuki Shinobu Friendship Lv. 4,"Nobody questions my leadership in the gang, what I say goes — except when it comes to Shinobu. She's always challenging everything I say. And not only that — all the hard-earned loot I bring back and share with everyone? She goes and returns it! But also, she gets me out of jail, and out of every mess we get ourselves into, so I'll let it slide. Besides, I don't wanna get on her bad side... An angry Shinobu would make my life a nightmare."
Arataki Itto,About Sayu Friendship Lv. 4,"All I did was give her a little pat on the head this one time when she wasn't looking, and now, she pounces to attack every time she lays eyes on me. Haha, what can I say? Tanuki are adorable! What am I supposed to do — not pat one on the head? ...Oh yeah, and that's the other thing — she beats you up for calling her a tanuki, too! What's up with that? I mean, a tanuki's what she's going for, right? Sheesh, talk about getting your fur all ruffled over nothing..."
Arataki Itto,More About Itto: I,"I know what you're thinking: ""I don't see it — how did this guy get to become the boss of the Arataki Gang on the back of beetle fighting and trading card games?"" Well, you're right, those are just child's play. Wanna know the hard skills that really got me where I am? Eating ramen standing upside down, sleeping with my eyes open, playing the harmonica with my nose, and swatting houseflies with my hair. Yeah, I know. Betcha see it now, huh?"
Arataki Itto,More About Itto: II Friendship Lv. 3,"People in Inazuma have this ritual every time there's a holiday, or they move, or get sick, or whatever, where they throw beans around and chant: ""Fortune beans are falling down, send the oni out of town. Fortune in, oni out. Fortune in, oni out!"" ...Ugh, the chant gets worse every time I hear it, but the streets full of beans, with my allergies? Total disaster. I've gotta fix this, for every oni out there! We're innocent, people! Quit trying to ward us off and drive us out every time there's a minor life event!"
Arataki Itto,More About Itto: III Friendship Lv. 4,"In a... ""attempt""... to end human prejudice toward the oni, I had the gang use a Kamera to take a picture of me showing my softer side and stick it to the Message Board in Inazuma City. Next thing we know, some jerks have graffitied all over it! Tsk! Then, some ashigaru blockheads from the Tenryou Commission accused me of disrupting the peace, next it was the Yashiro Commission, complaining it ruined the atmosphere in the area, and finally, even the Kanjou Commission got involved — they sent some lackeys over demanding advertising tax! Ugh, they have no idea who the bad guys are here!"
Arataki Itto,More About Itto: IV Friendship Lv. 5,"In the Arataki Gang, we're proud to welcome people who've experienced adversity in their lives. Don't listen to the people who call us freaks, or weirdos. Every member of my gang is like family to me, and they all feel the same way. Whatever happens, the gang will face it together — both the highs and the lows."
Arataki Itto,"More About Itto: V Friendship Lv. 6 Rise Up, Golden Soul","I gotta respect the Blue Oni for sacrificing themselves so that the Crimson Oni could live on... In principle, though, I'm absolutely against it. No one should have to sacrifice their own kind for the sake of a better tomorrow, period. It's only a better tomorrow if it's a better tomorrow for everyone. We need to work together, not have everyone just focused on themselves, making their own sacrifice, trying to look cool in the process... Eh, I guess there's no changing the past, what's done is done. But from this day forward, no more sacrificing, not on my watch! You go to sacrifice yourself, I'll stand right in your way!"
Arataki Itto,Itto's Hobbies,"Beetle fighting, trading card games, spinning tops, kendama, hide-and-seek, you name it, I can play it! Whaddya say, pick one and we'll have a little contest? Just make sure you're ready to get thrashed! Hahaha!"
Arataki Itto,Itto's Troubles Friendship Lv. 6,"Granny Oni isn't an oni at all... In fact, she's the kindest human that has ever lived. She only got her nickname because she took me in. If people have got a problem with me, fine, I don't care what other people think anyway... *sigh* But I wish people wouldn't go after her because of me."
Arataki Itto,Favorite Food,"Lollipops are pretty much the best things ever. The candy tastes awesome, but also, it looks really cool just having a stick hanging out of your mouth. It gives me, like... a real punk kind of vibe. Here, you try it!"
