content,score
"Please do something about the size, i still love the game and wanna play it but i can't i dont have enough storage anymore.",1
this game is very interesting in terms of graphics but it is also very boring :(,5
"In Iran we have problems with access to the google play, it's filter and updating the game through google has troubles ,,,",5
No controller support for Android!! iOS has controller support while Androids have been neglected. There's even a key binding option for contrllers that's blank because Androids can't play Genshin with controllers! I'll give this game 5 stars once an update reveals that Androids have controller support.,3
"I changed my review, it's a great game but still my luck is suck",4
"As an endgame player, there is little to do and quite a bit of it is tedious with a lot of room to optimize player experience. Unfortunately, instead of making more repeatable endgame content or giving the playerbase some substantial QoL improvements, they've decided to add subpar units that have buggy kits and do not add much (if any) value to your account while making the spiral abyss less and less accessible to players who don't have certain teams built. It's a beautiful shell of a game.",2
"I have no words, but its amazing.",5
"A lot of fun, amazing story, wonderful graphics, very good gameplay, best game ever for mobile and pc.",5
19.02.22 The game is good but whenever I play there are some red particles everywhere and there is this black rectangle in the middle of the screen The PC version is 5 stars. Im reinstalling because I want to give this game a second chance The newest 5 star character dehya is pretty bad when she does the same thing as xingqiu a 4* character from 2 years ago but worse. You need to spend £2k to get c6 r5 and even then she is comparable to a c0 hu tao with a 4* weapon dps wise. She needs a buff.,4
Sometimes it closes by itself,4
It suck because I can't get in to it to play,1
good game,5
It's amazing I love it so much,5
Don't play this game. It's not finished yet. It also fails at being a live service game (even thought it claims to be) because there's literally nothing to do past a certain point. This is my first and last real gacha game.,1
The best,5
I like it,5
"When I first downloaded the game in 2021 I thought it was too complicated, I didn't understand how it worked. But if I told myself two years ago I'm playing the game everyday, I would call myself delusional-",5
"Great game at start but don't have all the time in the world to play excessively like some players nor do I plan to spend money to get a character that would be beneficial for progressing because how long it takes to get through story to start quest to travel only to suffer because lack of quality items and characters. A friend recommended I try this game and not that easily impressed when it comes to games with gacha system. Guess as great as it starts out, I'll be deleting.",2
This Just is for Pc. Not worth to download on mobile. And 14 Gb Inner download. Before game start and Not that Cool. And multiplayer unlocks at 16 level and Intro of game is stuck,3
I like the girls,1
Niceeee graphics and the game I'll gived 5star,5
i love it more stressed relief,5
Nice,5
noice!!,5
THIS GAME IS SO GOOD BUT I GET A LITTLE BORED IF THERE IS NO MISSIONS CAUSE I DON'T KNOW WHAT TO DO😅,4
One of the best I have ever played,5
The game is good but I hate the fact that if you want the wish you have to grind to wish and sometimes you get a Character you have and then you have to grind Again and to level up a Character you need certain stuff and sometimes your ar level is to low to get the stuff.,4
Suck,1
"Genshin Impact is a masterpiece even if you will not play the game you need to look at the musics, they are so good! But we need more male characters please make it even Mihoyo..",5
LOVE THIS GAMEE SO MUCHH🙌🙌🙌🙌,5
"Great game, but... 21Gb download on a mobile device seems excessive, and to make it worse they don't give ""on demand"" capabilities, so you are stuck with a 21Gb download with avg speed between 1 and 3.5 Mbps, this enough for most ppl to give up before even downloading half of it. If u can't keep game downloading after closing it down u must increase your mobile virtual memory page and close anything on background. Happy gaming.",4
Really good game but cost a lot of GBs,5
Why so susah nak dapat diluc,5
It's the best game 🎮,5
"best game I've ever played, literally",5
Very Gaa Y,5
This game is really good.,5
I found out that you can delete the additional files you no longer need after clearing the quests- which I did. But then I switched out to another account which is fairly new and it prompted me to download the files I've JUST DELETED. Logging out of that account to my main account won't even let me pass the download screen anymore! Can't you just make it optional to download the files when we ACTUALLY WANT to do the quests??,1
Love this game nice game play,5
Thrilling storyline and awesome gameplay...!!!,5
Nice,5
the game is amazing!! But there's one thing I have a problem why won't the game let me in?,4
I want to eat paimon✨✨✨,5
Nice art style,5
You're telling me that you send/post millions of ad's per year for a game about anime girl's? Also the game's slow.,1
Sukii‹³ love dis game fr,5
I so love game genshin lmpact,5
Ninguna se desnudo.,1
STOP WITH THE SETEKH WENUT,1
It keeps saying storage already getting multiple times clean my storage is not working fixes but it's annoying and got rid of half of my games,2
"Add controller support! I bought a backbone specifically for Genshin, only to find out its not supported! PLEASE ADD CONTROLLER SUPPORT!!! This is the only reason I gave 4 stars instead of 5. Will definitely change to 5 when this feature is added!",4
Best game ever,5
Love this game best open world I've played in a long time,5
i cool game and 3d moshan thes game good for rmdan,5
Best realistic game on Android,5
Best free world game,5
Nice,5
"i absoloutley ADORE genshin. ive been playing it on my ps4 ever since it came out, and ive always loved it. the regions are beautiful, the food looks absoloutley delicious, the character designs are amazing, and the map is absoloutley beautiful and stunning. the updates are always super fun, especially stuff like the golden archipelago (i think thats how it spelt 😭) in summer. i have zero complaints about genshin and i never will! 100% recommend!!",5
"Excellent game, very thoroughly developed, captivating fantasy world experience. So extensive, it must be more enjoyable on a game console rather than mobile phone.",5
Maha ghatiya itna khelne ke baad bhi dhokha de deti he ye game,1
I lov this game,5
Love it,5
Loveit,5
"This game is overall okay, I have nothing else to say",4
"Everything is good, im waiting for future update :)",5
hoyoverse never disappoint me,5
android 10 บางรุ่นใช้จอย xbox ไม่ได้แก้ไขด้วย,1
Game crashed and restarted my phone when I was using auto dialogue I don't wanna use it now,4
"The ""Lost Key"" daily commission made me throw up.",1
Awesome but it is to hard to get characters,5
I CAN play this game in highest graphics 😎,5
"1gb game requires a 20gb download from some server in China. Yeah no, I'm not using a 3rd of my storage on one game. Bye",1
So far this is amazing But one thing Genshin plzz plz plz Add characters with Sythes Plz I will enjoy this game more if there are characters with Sythes plzz Add characters with Sythes it will be the best,4
"I loved this game so much. It gave me an experience of having fun. But the only problem is that it become much boring and that after the pandemic ended and our quarantine ended, I couldn't play anymore. I had more things to do and suddenly the game added more quests. I'm really greatful for this game.",4
Fun Game 👍😊,5
Played it before and when I got it on my phone I tried to download the data witch I couldn't be cause it was over 20gb and I almost deleted all my game because of the game,1
Bennett c6 toggle,2
I love the game but i deleted all my game to play it and it still says innufictent storage space please change that im begging you,5
I love this game 💕✨,5
Çok iyi detayları harika 👍,5
"I really enjoy this game like a lot, but the issue was having an fps drop issues even tho my phone is made for gaming. And also I am too dumb to understand the whole story in this game like at first I get so bored but then when I played it I have nothing to say that I am getring addicted to it. I'll give this an 8/10 👍",5
awesome,5
"I like the game I've made quite a few friends with it,I have spent over 10000$ on it(c6 r5 hu tao,ayaka,Raiden,ganyu main)there's just a few problems with it",5
It's very fun ( ﾟーﾟ)( ＾ω＾ ),5
Wow this game is underrated,5
"This game is really fun the rewards aren't great, but I'm still greatful",3
Epik game,5
My kid got hit by a bus,1
The quality are so perfect and smooth experience!,5
"I played it for a day the next day the game froze and didn't even load, I decided to uninstall it and try again this time It only downloaded resources and stopped working I didn't even get to play the game this Time around",2
this abyss really sucks. please dont put wenut on 12F ever again,1
"Definitely recommended if ur into fantasy, fighting games. It's great and all but after you really get into the game it's all abt grinding to level up ur ar and etr. If you get bored of it I personally just don't play it for a few weeks but overall is an amazing game",4
Best game,4
this game makes me relaxed everytime im bored and it has cute and pretty characters and good graphics and the story line too i recommend this game for you if you want to install,5
Awesome 👍👍👍,5
This game is Super Duper awesomee,5
honestly the main quest is horrible cause of the automated animation and the outdated open world design. but the visuals and combat fun so alright,2
"Best game , deserves more than five stars",5
Fix dehya or refund my money,1
Delightful game,5
I hate this game. It took so long for me JUST FOR LOGIN? TO MY OWN ACCOUNT!? I'd give 1 star for that service. give my account back and i'll give u an 5/5 star! id really love this game since april 2021 but whyd i cant even login to my own account. Nahh it took me so long to login since 2022. I literally hate those login service,1
AMAZING,5
Trash game bare minimum satifastion over hard work.,1
The fact that this game is good and awsome me: *lagging so hard*,5
I am a Huge fan of this game.Playing for few months.Reached AR35..Still waiting for a 5 star hero..I got it once (QIQI):(..That's fine..I know I will get a better one someday ..HIGHLY RECOMMENDED TO GAMERS AROUND THE WORLD..bcoz this hugeeee huge open world game with such amazing storyline is absolutely free...ONE REQUEST TO THE CREATORS..NEVER EVER ASK GENSHIN PLAYERS FOR MONEY...PLEASE KEEP THIS GAME FREE FOREVER.,5
Buff Dehya,1
Happy Anniversary! I would love to celebrate this Event properly with everyone,4
Love this game.. Just it's hard when the game ends. 🙂,4
"Its a great game with interesting storyline, great open world detail, good character design and game mechanic but when it comes to the white loading screen it hurt your eyes to the max when playing at night. 0/10 when it comes to white loading screen and we want dark mode for it.",5
"It was fun, but although I didn't get my fav character but it's okay!",5
I'm addicted to this game,5
Why should this game be online? When there is no communication with other players in the game? The game was deleted due to not having the attractions of an online game!,1
Very nice👍 game,5
"i did not have any problem before, but now for some reason the game doesnt work. it will just show the hoyoverse logo and then it will crash. i tried to clear data, clear cache, and reinstalling the app but it still doesnt work. this problem just appeared out of nowhere this afternoon, even though i have already opened and played the game earlier today. please help",2
Lack of endgame content which will make the game boring after you complete all the quest and you have to wait a month and half for the next story,3
Is a good open world rpg game better than any rpg game I've played definitely.,5
It is amazing but a ending should be easier for new players like me,5
The game is need a 20GB to download,2
Hoyo pls fix this bug or glitch whenever i click for the next dialouge it gets hang pls pls plss fix this,1
Its bad,2
Good game,5
"This game is getting boring. Movements, the lores and cut scenes angle are the SAME. Boring, boring, boring.",3
"This game is amazing and I'm really satisfied, but it takes a lot of memory",4
It's the only game I now play. It's wonderful,5
It's 2023 and still no control support. This game could be way better is android users had controller support. Really upsetting.,2
Give me vermillion. Maybe I can rate this 5 star. GIVE ME VERMILLION,1
Great game but I hate brain games . I deleted the game because of internet connection as it stopped me from using my lovely dendro Reactions . I don't know why but when I downloaded genshin my internet speed became 10x slower . When I deleted it it became normal again almost immediately ;,3
sexy is the best one,1
"I'm enjoying this game but it's a disgrace that after downloading 20gb Android users don't even get the benefit of being able to use a Bluetooth controller. In response to the developer's reply, obviously my feedback is to give Android users the ability to play with a Bluetooth controller. There's no acceptable excuse for why this option isn't available.",1
Im not play now.just how long to download the game,5
Its good,4
"What the actual H with new 12.3, you are making the abyss worse everytime, no fun to play it's always frustrating to wait for boss to spawn in abyss, 1 star until you fix abyss without any time waste bosses",1
I have 42 out of 73 gb what do you mean by insufficient storage space??,3
Buen juego,4
I am so addicted to this game it is so good,5
Yippiee,5
Ok,5
It's a very fun and relaxing game along with smooth combat but Wondering if you can make Bluetooth Xbox controller compatible to connect,5
"I installed it. Logged in. It's starting and it says ""Ensure sufficient space and try again"" I have 6.4 GB available.",1
best game i ever had,5
"Pretty good game, great design and storylines but after i stop playing this game for 2 months, the genshin is not playable on my device anymore, RealmeC15 is my device and when the new update play it always on 6-9 fps if i dont move it become 13fps, i hope the game do something about this i really want to play this game but i guess everytime it update it needed the better phone, also i did all the low graphics thing on settings and follow every instructions for fps drop fixing still 6-9fps 🥲",2
This is the best open world RPG game ever. And so many people like me always wished for a game like this,5
It keeps saying network error my internet is fine I can't even log in anymore this is bullsh*t,1
I am a new player in genshin impact the problem is the reason why I rate bcz when download it and started playing I reached to mondstadt but the problem is that there is no like what is the mark called location yellow thing I don't see it so I'm in big trouble so I got stuck in the mondstadt now I don't know where I will go I see everyone's location show them where to go but why not mine is it bcz I started this game lately or something I really wanna play it pls fix it if it has a problem pls😭,3
I love this game alot,5
Best game but can't play at full graphics though it is my phone problem but i bope i could play it at he best still it is fun to play game,5
Bro the best game i have ever played it gives me a. Good moble experience,5
game sngt ramah dan tidak toxic,1
Great story game play. Love it,5
"Best game ever! Just be careful, the game is free to play but you'll WANT to spend money lol",5
Since today everytime I open the app it crashes and nothing helps,3
Insanely Great!!!,5
Everything i want to experience is here...i love it.....,5
Your game is to good but one thing that can make your game even more better Please Add skip button😭,5
"HONESTLY, one of the best open-world games with actually mind blowing lore and combat. The characters are super detailed and amazing I wanna pull for all of them :') the storage might be a bit of an issue so try to stay away from mobiles if u have the option lol",5
This is Very Good Game,5
"Please make the voiceover language changeable per character wise. I would love to change few charecter voices to Japanese while others remain in English. Make the serenita pot and all of it's resources optional and deletable. Let us to delete female traveler's resources when playing as male. Make underground chasm deletable too when someone explored it 100%. Lastly, add pc like graphics settings like volumetric fog, reflection, resolution etc.",3
Cutie game 🎯,5
I will not give anything 5 stars,4
有bug，很严重的bug，游戏疯狂闪退,1
"So satisfied with the game, I just love the concept of the game, the Characters development never disappoint and they're all cute ❤️❤️ it's a game for me to cure Anxiety, stress, bad mood 😌 no bugs no issues I had face until now, game is Awesome 🔥",5
Happy,5
Amazing,5
perfection,5
First time playing I'm actually liking this game I didn't think I'd like it at first the story is going ok but I do wonder if they will drag the story line and hopefully find her brother asap,5
good story boards,5
Omg best game ever,5
I can't explain its just beautiful,5
I played genshin last month but i deleted it my adventure rank was already 27 but then I downloaded it again today and it just made a new account,1
Epic,5
It keeps on saying influent space I optimized my phone I updated my I Uninstalled & Installed the app.,1
Graphics are really good and the option to be able to use different characters helps bring a better spin to the game I really recommend this game. Well made,5
I love it,5
I love game,1
gg,5
Genshin impact 💯👍😱 I see app.,5
Funny thing is that you can get on a ps5,5
El mejor juego de la historia,5
Best gile x puas main 1 jam hahahahah 🤣🤣,5
SHENHE EARLY PITY PLEASE,5
Good game,5
It's like Overwatch,1
I try to open the game and it crashes instantly. I've been playing for years and have no clue what's causing this so suddenly,5
Everything is fine except I never have enough space for the updates. Also the game takes up all my space. Also can u add abandon quest cause I'm stuck on trails in Tianqiu.,3
Full 16GB download 😅,2
Why do I lose my progress anytime I get a new phone and log in I will try changing servers but my data progress won't be anywhere to find,4
idk,5
I don't have enough space for my phone and I do imma give it 1 star,1
"Very good looking for a mobile game, needs controller support because Apple products are not my thing.",1
"20,000 mb ???? Of a update download????",1
Easily my favourite game,5
"Another stupid boss that hides underground, invulnerable from all attack, I thought mihoyo doesn't want excessive anxiety",1
Gimme yae,1
Takes a long time for it to download but it's worth the wait,5
It's a cool ☺️,5
good game,5
"I think it's a bad game, bad rates; some of the worst on the market at a dismal 0.6%. Coupled with stingy free currency generation and expensive skins; it's a terrible combination for a game with terrible rates, you can expect to only see 2 five stars playing the game for an entire year. Most of the characters use the same base model with faces looking virtually the same; not a single one stands out or is appealling. Gameplay bland it's like a walking and talking simulator that gets old quickly",1
The best way to have 😊,5
Good,5
😃,5
"I hate it because of no skip button, I don't want to see the stories, I don't want to read the long dialogues because I don't want to waste my time, I could just watch the story on youtube.",1
Pls give me 5 star characters in the next banner,5
Good,5
"It's a great game, I really like the plot and character releases- I enjoy the game alot, but I was hoping for hoyoverse to give more primogems on longer and harder quests, especially with puzzles. There are quests that I find hard and too long for just 60 primogems. I find it hard to earn primogems once you reach high AR.",4
My best game In my life,5
Love it but I need more colored ppl! ♡♡,5
Great game keep it up,5
gebshin,5
"Takes 1,000000000000 mlinon years to download",1
Plsssss give zhongli a skin and make an artifact for his shield and his geo damage or for just his hp and his shield strength,1
Excellent!,5
"It says theres a bug everytime i try to open genshin and its not letting get in at all, pls fix this bug, i tried resetting and deleting the app but its not working... It was fine yesterday so idk why its acting up now...",1
Playing 2 years now and AR 58 and I still love this game I play it everyday its like my safe place I just hate losing my 50/50 LOOOL,5
Fix Dehya,1
Haram,1
This game is so good I thru up 2mins later,5
"good game, graphics and game play",5
THIS GAME IS SUPER GOOD I swear as a player 24/7,5
I love this game,5
Best,5
I hate the new Abyss update.,1
It would not let me play on my phone is this on PC to?,1
"I just want to play the game mostly, and it kind of bothers me that there is no skip button for the cut scenes.",4
"it's a really good game I love it, its the best luv the game!",5
"The game is amazing, the graphics are amazing and the storyline is sad but nice at the same time the music is peaceful and the characters designs are perfect maybe sometimes it will glitch but most times it doesn't I would recommend this game to anyone who wants to play with friends.The events are so cool to.😃",5
"Great gameplay, story, graphics and characters though it is very hard to obtain 5-star characters and weapons. Really looking forward to the rest of the storyline yet to be released.",5
I will never forgive what this game did to Dehya.,1
It is really very special 🥰🥰🥰😀😀😋😋,5
Kys,1
Best Open World RPG Game I Have Played So Far,5
I don't understand how to play,3
Awesome!!!😁,5
goodersbee,5
Dude it's been like more than 2 years ...and still the artifact system sucks 🐸🐸,2
Superb gaming experience on Android,5
"Toooooo many updates And there is no way to skip them I don't play a lot and anytime I want to paly, I have to dl another update It's so annoying",3
Best RPG game in the world,5
I LOVE IT SO MUCH I PLAY IT ALL DAY EVERY DAY,5
Best game I have ever played on a cellphone!,5
After you download this game for the first time...all you have to know is you are gonna stuck in this game cuz waifus and husbandos in this game are so fricking cute and handsome,5
TRASH 🤮🤮🤮🤮🤮🤮,1
👍,5
Very good game but takes 14gb space i know that it has great graphics and gameplay thats the reason for the space issue but still people with 32 gb memory has to suffer :( same with 64gb but slightly better :( :\,5
It's best game i ever played It's character design is awesome Hope it's don't take too much storage,5
Hacked....... Sed lyfe,1
"The game is alright but i can't understand why it never loads when I'm using mobile data??? Like i use the same mobile to watch videos stream music or literally do anything else but whenever i try to play genshin it gets stuck after the loading screen, and the screen remains white for a few minutes and then the game tells me the session logged out and i need to restart the game",1
Having fun,5
If you don't want to spend money don't get this game. That's all.,5
good,5
It's a very good game,5
This video is sponsored by genshin impact,5
Trash,1
"genshin is a great game! you can battle, do quests, and you can even gacha for new and amazing characters! but if you have enough storage, get it",5
AMAZING THANK YOU 😊🙂🤩🤩🤩🤩🤩🤩🤩,5
What a good game🥰,5
"Amazing game....one of the best, if not the best RPG games ever..",5
beautiful visuals and graphics,5
It doesn't download any data it always says i don't have enough space storage i actually deleted most of my apps and make lot of space storage but it didn't work at all i am trying to do it from last 2 years but still it's results are same .,1
di ko din alam,4
"This game is fantastic on PC. It's hot garbage on mobile. The camera control is almost non-existent, you'll constantly hit the wrong thing on the touch interface, and swapping characters without using your burst is a gamble. The fact that this game is this old and still lacks controller support is absolutely ridiculous.",3
I can't play this game it tells me I need to log in again and again ughhhhhhhhh I can't play it,1
It's the best game I have played ever.,5
I like the game it's fun And relaxing.,5
i freaking i love the game......just so annoyed some the balloon delivery or the fix the balloon,5
Really good open world gacha game with a great story.,5
E for excellent and everyone,5
Absolutely adore this game and hope that one day it will be available on nintendo switch because playing on a phone is not the same experience. The only thing stopping me from a 5 stars is the conversations with NPCs they end after every questions and if you have up to 3 choices of questions you have to click on tbe character again and restart the conversations from the beginning. It would be great if once the question is answered it goes back to the original script rather than closing.,4
Taking one star. Cause my game keeps crashing. I can just be exploring or in a battle nd it just gives up. Am playing on a revvl 6 5g. I still love the game but it's just this one thing that makes me mad..and mostly sad cause I do like this game. Am editing it again cause it keeps crashing I don't have many apps on my phone but dude come on why ??? Does this game do that ! Fix it or make not crash cause it is bull. I don't want to delete the game but I will cause the crashes do hurt me.,2
its a perfect game,5
Actually i love this game so much✨but i nearly give up just because ritou escape plan are toooooo hard....can you just remove the timer? Because the health of the cargo does not end yet but the timer already end😌😌 then it make me confused either i want to save the timer or to lead the cargo safely😌😌 pleaseeeee just remove the timer and i can continue my adventure...and play all the events🥲🥲🥲🥲🥲😌 its nearly end but i cant play it just because of the ritou escape plan😌😌,4
"Hoyoverse , Of you are reading this...... GIVE FREE PRIMOGEMS ( OR GENESIS CRYSTAL any one you like) Please for the love of God do it thnx",5
very nice game,5
your pc version doesnt work well :(,1
"Awful, no support for a controller. Edit: after that pointless developer response if I could leave a review for less than one star I would do. Save the effort and use add basic features to your game, you realise its 2023 and not 2013 right?.",1
Bring me to this world and give me overpower the,5
Graphics is good,5
"Sick character design wasted on horrible kits. Especially at the time of release. Surely they won't repeat zhongli's case, right? Nevermind, they did WAY worse with kokomi and dehya's release. You might appreciate the aesthetic, visuals, and story of this game but gameplay is mid. Sorry",1
stupidest game ever,1
Too big for mobile pls do version for mobile,4
It's so good app,5
Disappointed at the new character banner,3
AMAZING,5
"I love this game so much, this is my favourite game yet so far. But I deleted it, but don't worry I will redownload it again.",5
good game good graphics if u have a GOD PC like me mechanics are good,5
It's best,5
Fix Dehya 😡,1
Kys,1
"How is this a free game i don't get it, ya know, if i was the creator of this game i would've charged atleast 20 dollars, absolutely beautiful game love every aspect about it.",5
It's a fun action pack game and you get to gather resources but all of a sudden lately it started freezing and lagging a lot,4
"It's a great game, and the graphics are high, which gives a unique experience",5
Lee game lee error,5
give more primos so i can make it 5☺️,4
It's so cool👍,5
Are we ever going to get controller support for android...,2
The game is excellent to play but after recent updates game lags a lot it was never smooth after that. I hear audios even before everything I interact. Does anyone face the same issue like mine kindly tell me a solution.,3
The graphics and the animation I like that we can go out and explore on like the other games,5
Nice game,5
Great game if you like story and lots of drama. Plot and idea is amazing. My only complain is the cost for wishes. They are 160 maybe 100? It's because when you grind you usually have to spend hours for a 10 pull. At least we can save some time and p2w have it easy compared to the f2p like me. Please add this and this is something that could possibly help the game.,4
Buff Dehya,1
"I liked playing it a lot it's a interesting game i don't have any complaints it has a interesting story and good fights and your able to explore and the character designs are amazing and i also like the voice acting it doesn't only show the words of the characters but each character has a different voice they also have a verity of weapons swords,bow and arrow,cattilist users and more and each place has different enemies there's also good descriptions on the characters.",5
"Please me a 5 star character, but not qiqi",5
Good game but the loading screen when u first download it was to long make it shorter,4
It's amazing honestly,5
I'm inlove just I still don't get the artifacts 🥹,5
Farming good artifacts is HELL ! No wonder why so many player left. Atleast 1 good item for 2 session of farming at the same domain,1
game yahudi,1
I've been playing for a month and tbh the game was so fun I had to quit this time bc it is prohibited in our religion since genshin contains worshipping gods so I'll just wait for honkai star rail. This game gave me good memories it. Tbh this is one of the best game I ever played but goodbye and can't wait for honkai star rail.,5
This is one of the best game I really like it .,5
It's a nice game I really recommend it and has nice gameplays Wich I enjoy ty and 5 stars,5
"I HAVE EVERY SPACE FOR THIS GAME AND IT STILL SAYS ""INSUFFICIENT STORAGE"" THE FUDGE THE STORAGE IS NOT FAIR!!",1
Very fun,5
This is the best game I played in my life,5
bruuh,1
This is so good I can't discrabe it to you. When you play it you feel free and I never had this feeling on other games Idk is it for the graphic or ... But anyway Amazing!!!!,5
Mong ra morax,1
"This has got to be the best mobile game in history, I'm loving it soon much and it's got a great story to go with it. I love open world games and boy this is no exception. This thing is a work of art right down to ever detail. Absolutely beautiful",5
"Love this game so much! Every character's perosnalities and back stories are all relatable, game graphics and details are so wonderful, and the music every nation day and night are relaxing!! This game is just, perfect. My suggestions are the features for co-op mode, please add voice chat, it will help a lot of players to communicate with other people or even by their friends, and if possible, can you add PvP? Thankyou!❤️",5
It's a great game but please increase load on the teapot i can't put more furnishing on it because of the limit on android.,4
Great game,4
Noice,5
Another never ending exploring game. Good RPG mobile version. Life will never be boring anymore,5
Brilliant game...just find it easier to play on PC.,5
It's fun,5
Why did you get rid of aloy i wanted her,4
Best game I ever played and coop is really fun and you can make friends,5
Nice,4
Its hard to get in to but its just final fantasy with king dome heart elements,5
Ugh,5
The best game ever.,5
It's like I'm in a storybook.,5
"It's pretty nice, the. Graphics and everything is just perfect! But it takes lots of space in your storage though L",5
"I hate the Insufficient Storage Thing, In Fact The Storage Was to heavy for some phones. I hate it",1
Very good 👍 👏,4
"Release Genshin Impact 2, Fontaine update gonna crash my phone fr..",3
IT'S MY DREAM GAME I'VE ALWAYS WANTED TO PLAY A GAME LIKE THIS,5
"this game is amazibg specially the quality, you can play with your friends and lovers!! The stories here is so amazing, loved it so much💗!!",5
ADD A SKIP DIALOGUE/CUTSCENE OPTION 💀,1
I like the game very much but it would be nice if the game let me download and play stories part by part and let me delete what I have finished so that it wouldn't take so much storage cause 20 gb for a game is alot .,4
Game is good but dehya is below avg worst character ever made,5
"Love that there's so much to do. But also hate that there's too much to do all at once, lol.",3
"Mobile sucks aiming an arrow while moving is hard unlike pc is more easier,, lame",1
Sangat bagus,4
So friking amzinnnnnnngggg,5
Child preds play this,1
Yea I love everything about the game except for the devs giving thousands of free Primogems to streamers and not their regular players just because we aren't playing it on camera. Blatant favoritism from the devs and I will not play until they change that!,1
"it's a fantastic game, but now i can't play cuz my device spec is no longer supported the game🥲 so sad it's become too lagging when playing even using the lowest quality. but i always support this game😁😁",5
noice,5
"The customer service is terrible. My account was hacked and it is now forever lost. Its a good game but man, the company is a disappointment. I wish I didn't spend so much time building my account. Edit: MiHoYo, I already tried contacting you several times. Despite having concrete evidence and people backing me up I was still rejected not once or twice but 4 times. It's pretty damn depressing. I will not change my rating until I actually DO get my account back.",1
"The best mobile game experience. Story, characters, fighting system.. it's all amazing.",5
ayaw pang delete oi haha,1
Nice,5
I love it is a fun game,5
عالیه,5
The game good and nothing i can't do for now,5
The best,5
"Fix Dehya please, I regret pulling her, she isn't worthy :(",1
"I want to play thins game and i think it is a really good game, but it just says ""Hoyoverse"" the cuts back off to the google play store. I have tried on my ipad, Still doesnt work, My pc, Sill doesnt work and i have tried on my chromebook and STILL DOESENT WORK!!! please fix the lagging issues beacuse i cant even olay on my Pc. Please i really want to play this game but just fix the lag, Reduce the amount of storage it takes up so i can actually play the game!",1
5 star pressed play and i need 20 gigabytes of free storage 👍,5
Itto,5
I love this and plus I like free to explore games and rpg games and storyline games,5
